housenumber,street,city,postcode,district,state,address
433,Jalan 5/46,Petaling Jaya,46000,PETALING,SELANGOR,"433, JALAN 5/46, PETALING JAYA, 46000, PETALING, SELANGOR"
433,Jalan 5/46,Petaling Jaya,46000,PETALING JAYA,SELANGOR,"433, JALAN 5/46, PETALING JAYA, 46000, PETALING JAYA, SELANGOR"
4A,Jalan 14/20,Petaling Jaya,46100,PETALING JAYA,SELANGOR,"4A, JALAN 14/20, PETALING JAYA, 46100, PETALING JAYA, SELANGOR"
69,Jalan Gaya,Kota Kinabalu,88000,KOTA KINABALU,SABAH,"69, JALAN GAYA, KOTA KINABALU, 88000, KOTA KINABALU, SABAH"
11,Jalan Pinang,Kota Kinabalu,88300,KOTA KINABALU,SABAH,"11, JALAN PIG, KOTA KINABALU, 88300, KOTA KINABALU, SABAH"
23,Jalan Pinang,Kota Kinabalu,88300,KOTA KINABALU,SABAH,"23, JALAN PIG, KOTA KINABALU, 88300, KOTA KINABALU, SABAH"
22-1 & 22A-1,Jalan PJU 1/3A,Petaling Jaya,47301,PETALING,SELANGOR,"22-1 & 22A-1, JALAN PJU 1/3A, PETALING JAYA, 47301, PETALING, SELANGOR"
22-1 & 22A-1,Jalan PJU 1/3A,Petaling Jaya,47301,PETALING JAYA,SELANGOR,"22-1 & 22A-1, JALAN PJU 1/3A, PETALING JAYA, 47301, PETALING JAYA, SELANGOR"
11,Jalan Sultan Ismail,Kuala Lumpur,50250,KUALA LUMPUR,WP KUALA LUMPUR,"11, JALAN SULTAN ISMAIL, KUALA LUMPUR, 50250, KUALA LUMPUR, WP KUALA LUMPUR"
621-A,Jalan Merdeka,Ampang,68000,ULU LANGAT,WP KUALA LUMPUR,"621-A, JALAN MERDEKA, AMPANG, 68000, ULU LANGAT, WP KUALA LUMPUR"
621-A,Jalan Merdeka,Ampang,68000,ULU LANGAT,SELANGOR,"621-A, JALAN MERDEKA, AMPANG, 68000, ULU LANGAT, SELANGOR"
621-A,Jalan Merdeka,Ampang,68000,PETALING,WP KUALA LUMPUR,"621-A, JALAN MERDEKA, AMPANG, 68000, PETALING, WP KUALA LUMPUR"
