id,NEGERI,PPD,Peringkat,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,BANTUAN,MURID,GURU,PRASEKOLAH,PKHAS,longitude,latitude
1,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0001,SEKOLAH KEBANGSAAN TOH TANDEWA SAKTI,JALAN KELAB,35000,TAPAH,54011341,54010387,ABA0001@moe.edu.my,Bandar,SK,420,40,ADA,ADA,101.255932,4.196633
2,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0002,SEKOLAH KEBANGSAAN PENDITA ZA'BA,JALAN TAPAH ROAD,35400,TAPAH ROAD,54182740,54182740,ABA0002@moe.edu.my,Luar Bandar,SK,390,34,ADA,TIADA,101.200617,4.178276
3,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0003,SEKOLAH KEBANGSAAN BANIR,BANIR,35400,TAPAH ROAD,54270085,TIADA,ABA0003@moe.edu.my,Luar Bandar,SK,40,13,ADA,TIADA,101.181893,4.204361
4,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0004,SEKOLAH KEBANGSAAN TEMOH,KAMPUNG TEMOH STESEN,35350,TEMOH,54690253,54690263,ABA0004@moe.edu.my,Luar Bandar,SK,111,18,ADA,TIADA,101.172819,4.235841
5,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0005,SEKOLAH KEBANGSAAN CHENDERIANG,JALAN CHENDERIANG,35300,CHENDERIANG,54161461,54161461,ABA0005@moe.edu.my,Luar Bandar,SK,174,20,ADA,TIADA,101.240556,4.26798
6,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0006,SEKOLAH KEBANGSAAN BIDOR,JALAN SUNGKAI,35500,BIDOR,54340797,54340797,ABA0006@moe.edu.my,Luar Bandar,SK,276,27,ADA,TIADA,101.288553,4.10783
7,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0007,SEKOLAH KEBANGSAAN KAMPONG POH,KAMPONG POH,35500,BIDOR,54270103,TIADA,ABA0007@moe.edu.my,Luar Bandar,SK,105,14,ADA,TIADA,101.333928,4.087714
8,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0008,SEKOLAH KEBANGSAAN BATU TIGA,KAMPUNG BATU TIGA,35350,TEMOH,54198507,54190161,ABA0008@moe.edu.my,Luar Bandar,SK,191,21,ADA,TIADA,101.227594,4.225045
9,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0009,SEKOLAH KEBANGSAAN BATU MELINTANG,KAMPUNG BATU MELINTANG,35000,TAPAH,54270035,54270035,ABA0009@moe.edu.my,Luar Bandar,SK,103,14,ADA,TIADA,101.284999,4.199232
10,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0010,SEKOLAH KEBANGSAAN HAJI HASAN,CHANGKAT PETAI,35400,TAPAH ROAD,56591069,56591069,ABA0010@moe.edu.my,Luar Bandar,SK,238,25,ADA,TIADA,101.151,4.126494
11,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0011,SEKOLAH KEBANGSAAN SRI KINJANG,CHENDERIANG,35300,CHENDERIANG,TIADA,TIADA,ABA0011@moe.edu.my,Luar Bandar,SK,197,19,ADA,TIADA,101.246669,4.298925
12,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0012,SEKOLAH KEBANGSAAN KAMPONG PAHANG,JALAN PAHANG,35000,TAPAH,54010396,54010396,ABA0012@moe.edu.my,Luar Bandar,SK,133,16,ADA,TIADA,101.290635,4.224792
13,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0013,SEKOLAH KEBANGSAAN BATU TUJUH,JALAN PAHANG,35000,TAPAH,54010735,54010735,ABA0013@moe.edu.my,Luar Bandar,SK,474,34,ADA,TIADA,101.318631,4.250268
14,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0014,SEKOLAH KEBANGSAAN JERAM MENGKUANG,"BATU 5, JERAM MENGKUANG",35500,BIDOR,54270118,54270119,ABA0014@moe.edu.my,Luar Bandar,SK,58,11,ADA,TIADA,101.241413,4.067268
15,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0015,SEKOLAH KEBANGSAAN SUNGAI LESONG,KG SUNGAI LESONG,31950,MAMBANG DI AWAN,54780468,54780468,ABA0015@moe.edu.my,Luar Bandar,SK,272,30,ADA,TIADA,101.145479,4.231541
16,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0016,SEKOLAH KEBANGSAAN AYER KUNING,AIR KUNING KAMPAR,31920,KAMPAR,54789326,54789326,ABA0016@moe.edu.my,Luar Bandar,SK,163,25,ADA,ADA,101.143561,4.194635
17,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0017,SEKOLAH KEBANGSAAN BATU MASJID,KAMPONG BATU MASJID,35350,TEMOH,54270021,54270021,ABA0017@moe.edu.my,Luar Bandar,SK,83,13,ADA,TIADA,101.200528,4.226201
18,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0018,SEKOLAH KEBANGSAAN SUNGKAI,SUNGKAI,35600,SUNGKAI,54388434,54388434,ABA0018@moe.edu.my,Luar Bandar,SK,475,47,ADA,ADA,101.309711,3.99543
19,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0019,SEKOLAH KEBANGSAAN PERLOK,JALAN MENDERANG,35600,SUNGKAI,54386911,54386911,ABA0019@moe.edu.my,Luar Bandar,SK,152,19,ADA,TIADA,101.342328,4.010142
