address
"ABI, 01000, KANGAR, PERLIS"
"ARAU, 02600, PERLIS"
"BERSERI, 02400, KANGAR, PERLIS"
"CHUPING, 02500, PADANG BESAR, PERLIS"
"UTAN AJI, 01000, KANGAR, PERLIS"
"JEJAWI, 01000, ARAU, PERLIS"
"KAYANG, 02000, KANGAR, PERLIS"
"KECHOR, 01000, KANGAR, PERLIS"
"KUALA PERLIS, 02000, KANGAR, PERLIS"
"KURONG ANAI, 02600, ARAU, PERLIS"
"KURONG BATANG, 01000, KANGAR, PERLIS"
"NGULANG, 02400, KANGAR, PERLIS"
"ORAN, 02500, PADANG BESAR, PERLIS"
"PADANG PAUH, 01000, KANGAR, PERLIS"
"PADANG SIDING, 02600, ARAU, PERLIS"
"PAYA, 02400, KANGAR, PERLIS"
"SANGLANG, 02800, ARAU, PERLIS"
"SENA, 01000, KANGAR, PERLIS"
"SERIAB, 01000, KANGAR, PERLIS"
"SUNGAI ADAM, 02600, ARAU, PERLIS"
"TITI TINGGI, 02100, PADANG BESAR, PERLIS"
"WANG BINTONG, 01000, KANGAR, PERLIS"
"BANDAR ARAU, 02600, ARAU, PERLIS"
"BANDAR KANGAR, 01000, KANGAR, PERLIS"
"PEKAN KUALA PERLIS, 02000, KANGAR, PERLIS"
"PEKAN KAKI BUKIT, 02200, PADANG BESAR, PERLIS"
"ALOR MALAI, 05100, KOTA SETAR, KEDAH"
"ALOR MERAH, 05250, KOTA SETAR, KEDAH"
"ANAK BUKIT, 06550, KOTA SETAR, KEDAH"
"BUKIT PINANG, 06720, KOTA SETAR, KEDAH"
"DERGA, 05400, KOTA SETAR, KEDAH"
"GUNONG, 06570, KOTA SETAR, KEDAH"
"HUTAN KAMPONG, 05350, KOTA SETAR, KEDAH"
"KANGKONG, 06650, KOTA SETAR, KEDAH"
"KOTA SETAR, 05675, KEDAH"
"KUALA KEDAH, 06600, KOTA SETAR, KEDAH"
"KUBANG ROTAN, 06250, KOTA SETAR, KEDAH"
"LANGGAR, 06500, KOTA SETAR, KEDAH"
"LENGKUAS, 05350, KOTA SETAR, KEDAH"
"LEPAI, 05350, KOTA SETAR, KEDAH"
"LIMBONG, 06500, KOTA SETAR, KEDAH"
"MERGONG, 05150, KOTA SETAR, KEDAH"
"PADANG HANG, 06250, KOTA SETAR, KEDAH"
"PADANG LALANG, 06250, KOTA SETAR, KEDAH"
"PENGKALAN KUNDOR, 05400, KOTA SETAR, KEDAH"
"PUMPONG, 05250, KOTA SETAR, KEDAH"
"SALA KECHIK, 06650, KOTA SETAR, KEDAH"
"SUNGAI BAHARU, 06250, KOTA SETAR, KEDAH"
"TAJAR, 06500, KOTA SETAR, KEDAH"
"TEBENGAU, 06600, KOTA SETAR, KEDAH"
"TELAGA MAS, 06400, KOTA SETAR, KEDAH"
"TELOK CHENGAI, 06600, KOTA SETAR, KEDAH"
"TITI GAJAH, 06550, KOTA SETAR, KEDAH"
"TELOK KECHAI, 06600, KOTA SETAR, KEDAH"
"BANDAR ALOR SETAR, 05100, KOTA SETAR, KEDAH"
