mukim,state_id,district,state,postcode,locality
ABI,9,KANGAR,PERLIS,01000,ABI
ARAU,9,ARAU,PERLIS,02600,ARAU
BERSERI,9,KANGAR,PERLIS,02400,BERSERI
CHUPING,9,PADANG BESAR,PERLIS,02500,CHUPING
UTAN AJI,9,KANGAR,PERLIS,01000,UTAN AJI
JEJAWI,9,ARAU,PERLIS,01000,JEJAWI
KAYANG,9,KANGAR,PERLIS,02000,KAYANG
KECHOR,9,KANGAR,PERLIS,01000,KECHOR
KUALA PERLIS,9,KANGAR,PERLIS,02000,KUALA PERLIS
KURONG ANAI,9,ARAU,PERLIS,02600,KURONG ANAI
KURONG BATANG,9,KANGAR,PERLIS,01000,KURONG BATANG
NGULANG,9,KANGAR,PERLIS,02400,NGULANG
ORAN,9,PADANG BESAR,PERLIS,02500,ORAN
PADANG PAUH,9,KANGAR,PERLIS,01000,PADANG PAUH
PADANG SIDING,9,ARAU,PERLIS,02600,PADANG SIDING
PAYA,9,KANGAR,PERLIS,02400,PAYA
SANGLANG,9,ARAU,PERLIS,02800,SANGLANG
SENA,9,KANGAR,PERLIS,01000,SENA
SERIAB,9,KANGAR,PERLIS,01000,SERIAB
SUNGAI ADAM,9,ARAU,PERLIS,02600,SUNGAI ADAM
TITI TINGGI,9,PADANG BESAR,PERLIS,02100,TITI TINGGI
WANG BINTONG,9,KANGAR,PERLIS,01000,WANG BINTONG
BANDAR ARAU,9,ARAU,PERLIS,02600,BANDAR ARAU
BANDAR KANGAR,9,KANGAR,PERLIS,01000,BANDAR KANGAR
PEKAN KUALA PERLIS,9,KANGAR,PERLIS,02000,PEKAN KUALA PERLIS
PEKAN KAKI BUKIT,9,PADANG BESAR,PERLIS,02200,PEKAN KAKI BUKIT
ALOR MALAI,2,KOTA SETAR,KEDAH,05100,ALOR MALAI
ALOR MERAH,2,KOTA SETAR,KEDAH,05250,ALOR MERAH
ANAK BUKIT,2,KOTA SETAR,KEDAH,06550,ANAK BUKIT
BUKIT PINANG,2,KOTA SETAR,KEDAH,06720,BUKIT PINANG
DERGA,2,KOTA SETAR,KEDAH,05400,DERGA
GUNONG,2,KOTA SETAR,KEDAH,06570,GUNONG
HUTAN KAMPONG,2,KOTA SETAR,KEDAH,05350,HUTAN KAMPONG
KANGKONG,2,KOTA SETAR,KEDAH,06650,KANGKONG
KOTA SETAR,2,KOTA SETAR,KEDAH,05675,KOTA SETAR
KUALA KEDAH,2,KOTA SETAR,KEDAH,06600,KUALA KEDAH
KUBANG ROTAN,2,KOTA SETAR,KEDAH,06250,KUBANG ROTAN
LANGGAR,2,KOTA SETAR,KEDAH,06500,LANGGAR
LENGKUAS,2,KOTA SETAR,KEDAH,05350,LENGKUAS
LEPAI,2,KOTA SETAR,KEDAH,05350,LEPAI
LIMBONG,2,KOTA SETAR,KEDAH,06500,LIMBONG
MERGONG,2,KOTA SETAR,KEDAH,05150,MERGONG
PADANG HANG,2,KOTA SETAR,KEDAH,06250,PADANG HANG
PADANG LALANG,2,KOTA SETAR,KEDAH,06250,PADANG LALANG
PENGKALAN KUNDOR,2,KOTA SETAR,KEDAH,05400,PENGKALAN KUNDOR
PUMPONG,2,KOTA SETAR,KEDAH,05250,PUMPONG
SALA KECHIK,2,KOTA SETAR,KEDAH,06650,SALA KECHIK
SUNGAI BAHARU,2,KOTA SETAR,KEDAH,06250,SUNGAI BAHARU
TAJAR,2,KOTA SETAR,KEDAH,06500,TAJAR
TEBENGAU,2,KOTA SETAR,KEDAH,06600,TEBENGAU
TELAGA MAS,2,KOTA SETAR,KEDAH,06400,TELAGA MAS
TELOK CHENGAI,2,KOTA SETAR,KEDAH,06600,TELOK CHENGAI
TITI GAJAH,2,KOTA SETAR,KEDAH,06550,TITI GAJAH
TELOK KECHAI,2,KOTA SETAR,KEDAH,06600,TELOK KECHAI
BANDAR ALOR SETAR,2,KOTA SETAR,KEDAH,05100,BANDAR ALOR SETAR
BANDAR ANAK BUKIT,2,KOTA SETAR,KEDAH,05100,BANDAR ANAK BUKIT
BANDAR KUALA KEDAH,2,KOTA SETAR,KEDAH,06600,BANDAR KUALA KEDAH
BANDAR ALOR MERAH,2,KOTA SETAR,KEDAH,05250,BANDAR ALOR MERAH
BANDAR BUKIT PINANG,2,KOTA SETAR,KEDAH,06200,BANDAR BUKIT PINANG
BANDAR LANGGAR,2,KOTA SETAR,KEDAH,06500,BANDAR LANGGAR
BANDAR SIMPANG EMPAT,2,KOTA SETAR,KEDAH,06250,BANDAR SIMPANG EMPAT
PEKAN ALOR JANGGUS,2,KOTA SETAR,KEDAH,06250,PEKAN ALOR JANGGUS
PEKAN KOTA SARANG SEMUT,2,KOTA SETAR,KEDAH,06800,PEKAN KOTA SARANG SEMUT
PEKAN GUNUNG,2,KOTA SETAR,KEDAH,05150,PEKAN GUNUNG
AH,2,KUBANG PASU,KEDAH,06100,AH
BINJAL,2,KUBANG PASU,KEDAH,06000,BINJAL
GELONG,2,KUBANG PASU,KEDAH,06000,GELONG
BUKIT TINGGI,2,KUBANG PASU,KEDAH,06000,BUKIT TINGGI
HUSBA,2,KUBANG PASU,KEDAH,06000,HUSBA
JERAM,2,KUBANG PASU,KEDAH,06000,JERAM
JERLUN,2,KUBANG PASU,KEDAH,06150,JERLUN
JITRA,2,KUBANG PASU,KEDAH,06000,JITRA
KEPELU,2,KUBANG PASU,KEDAH,06100,KEPELU
KUBANG PASU,2,KUBANG PASU,KEDAH,06000,KUBANG PASU
MALAU,2,KUBANG PASU,KEDAH,06000,MALAU
NAGA,2,KUBANG PASU,KEDAH,06000,NAGA
PADANG PERAHU,2,KUBANG PASU,KEDAH,06000,PADANG PERAHU
PELUBANG,2,KUBANG PASU,KEDAH,06000,PELUBANG
PERING,2,KUBANG PASU,KEDAH,06100,PERING
PUTAT,2,KUBANG PASU,KEDAH,06000,PUTAT
SANGLANG,2,KUBANG PASU,KEDAH,06150,SANGLANG
SUNGAI LAKA,2,KUBANG PASU,KEDAH,06010,SUNGAI LAKA
TEMIN,2,KUBANG PASU,KEDAH,06000,TEMIN
TUNJANG,2,KUBANG PASU,KEDAH,06000,TUNJANG
WANG TEPUS,2,KUBANG PASU,KEDAH,06000,WANG TEPUS
BANDAR CHANGLUN,2,KUBANG PASU,KEDAH,06010,BANDAR CHANGLUN
BANDAR JITRA,2,KUBANG PASU,KEDAH,06000,BANDAR JITRA
BANDAR KODIANG,2,KUBANG PASU,KEDAH,06100,BANDAR KODIANG
BANDAR TUNJANG,2,KUBANG PASU,KEDAH,06000,BANDAR TUNJANG
BANDAR BANDAR DARULAMAN,2,KUBANG PASU,KEDAH,06000,BANDAR BANDAR DARULAMAN
BANDAR PADANG SERA,2,KUBANG PASU,KEDAH,06100,BANDAR PADANG SERA
BANDAR KEPALA BATAS,2,KUBANG PASU,KEDAH,06200,BANDAR KEPALA BATAS
BANDAR BUKIT KAYU HITAM,2,KUBANG PASU,KEDAH,06050,BANDAR BUKIT KAYU HITAM
PEKAN AYER HITAM,2,KUBANG PASU,KEDAH,06150,PEKAN AYER HITAM
PEKAN KUALA SANGLANG,2,KUBANG PASU,KEDAH,06150,PEKAN KUALA SANGLANG
PEKAN SANGLANG,2,KUBANG PASU,KEDAH,06150,PEKAN SANGLANG
PEKAN KERPAN,2,KUBANG PASU,KEDAH,06150,PEKAN KERPAN
PEKAN SINTOK,2,KUBANG PASU,KEDAH,06100,PEKAN SINTOK
PEKAN NAPOH,2,KUBANG PASU,KEDAH,06000,PEKAN NAPOH
PEKAN SUNGAI KOROK,2,KUBANG PASU,KEDAH,06150,PEKAN SUNGAI KOROK
BATANG TUNGGANG KANAN,2,PADANG TERAP,KEDAH,06300,BATANG TUNGGANG KANAN
BATANG TUNGGANG KIRI,2,PADANG TERAP,KEDAH,06300,BATANG TUNGGANG KIRI
BELIMBING KANAN,2,PADANG TERAP,KEDAH,06300,BELIMBING KANAN
BELIMBING KIRI,2,PADANG TERAP,KEDAH,06300,BELIMBING KIRI
KURONG HITAM,2,PADANG TERAP,KEDAH,06300,KURONG HITAM
PADANG TERNAK,2,PADANG TERAP,KEDAH,06300,PADANG TERNAK
PADANG TERAP KANAN,2,PADANG TERAP,KEDAH,06300,PADANG TERAP KANAN
PADANG TERAP KIRI,2,PADANG TERAP,KEDAH,06300,PADANG TERAP KIRI
PEDU,2,PADANG TERAP,KEDAH,06300,PEDU
TEKAI,2,PADANG TERAP,KEDAH,06400,TEKAI
TOLAK,2,PADANG TERAP,KEDAH,06300,TOLAK
BANDAR KUALA NERANG,2,PADANG TERAP,KEDAH,06300,BANDAR KUALA NERANG
PEKAN NAKA,2,PADANG TERAP,KEDAH,06350,PEKAN NAKA
PEKAN DURIAN BURUNG,2,PADANG TERAP,KEDAH,06300,PEKAN DURIAN BURUNG
PEKAN LUBOK MERBAU,2,PADANG TERAP,KEDAH,06300,PEKAN LUBOK MERBAU
PEKAN BUKIT TEMBAGA,2,PADANG TERAP,KEDAH,06300,PEKAN BUKIT TEMBAGA
PEKAN PADANG SANAI,2,PADANG TERAP,KEDAH,06300,PEKAN PADANG SANAI
PEKAN KAMPUNG TANJUNG,2,PADANG TERAP,KEDAH,06300,PEKAN KAMPUNG TANJUNG
AYER HANGAT,2,LANGKAWI,KEDAH,07000,AYER HANGAT
BOHOR,2,LANGKAWI,KEDAH,07000,BOHOR
KEDAWANG,2,LANGKAWI,KEDAH,07000,KEDAWANG
